balance,return,highLevel,drawdown,ddPercent,date,netPnl
1026629.7200000002,-0.0029620861135344345,1029679.7200000002,-3050.0,-0.29620861135344095,2019-10-08 15:00:00,-3050.0
1026014.2400000002,-0.0005995150812505567,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-09 15:00:00,-615.48
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-10 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-11 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-14 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-15 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-16 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-17 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-18 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-21 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-22 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-23 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-24 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-25 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-28 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-29 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-30 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-10-31 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-01 15:00:00,0.0
