symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20140221,00:00:00,2286.868,2291.6434,2256.6042,2266.6268,609925.0
IF99,,IF99,20140224,00:00:00,2258.2507,2258.7474,2180.7104,2206.3127,663675.0
IF99,,IF99,20140225,00:00:00,2214.0782,2218.7821,2144.226,2145.7744,723201.0
IF99,,IF99,20140226,00:00:00,2141.8057,2157.9616,2132.2793,2149.1227,701708.0
IF99,,IF99,20140227,00:00:00,2153.7536,2169.6751,2140.6296,2147.986,800030.0
IF99,,IF99,20140228,00:00:00,2153.8572,2175.7751,2119.5226,2173.1097,870301.0
IF99,,IF99,20140303,00:00:00,2165.1411,2184.4109,2151.156,2163.377,714932.0
IF99,,IF99,20140304,00:00:00,2160.0387,2170.7772,2139.6112,2168.4467,770575.0
IF99,,IF99,20140305,00:00:00,2176.9486,2181.4763,2144.3286,2148.0898,713113.0
IF99,,IF99,20140306,00:00:00,2141.751,2171.7584,2116.09,2165.6489,961802.0
IF99,,IF99,20140307,00:00:00,2165.4236,2175.258,2138.3764,2138.6884,767114.0
IF99,,IF99,20140310,00:00:00,2117.5338,2127.4263,2057.5985,2060.2904,756301.0
IF99,,IF99,20140311,00:00:00,2062.5546,2099.1163,2057.8473,2083.6092,845043.0
IF99,,IF99,20140312,00:00:00,2069.0799,2092.3156,2058.2945,2079.3617,904175.0
IF99,,IF99,20140313,00:00:00,2085.4962,2114.6242,2081.6698,2097.4162,875824.0
IF99,,IF99,20140314,00:00:00,2088.236,2096.2295,2075.5687,2088.4595,640483.0
IF99,,IF99,20140317,00:00:00,2087.6772,2138.1644,2082.2773,2122.6925,771953.0
IF99,,IF99,20140318,00:00:00,2126.156,2128.3335,2096.2238,2097.0218,648361.0
IF99,,IF99,20140319,00:00:00,2098.5660000000003,2103.6481,2069.2436,2101.7003,821199.0
IF99,,IF99,20140320,00:00:00,2094.3068,2114.7783,2040.4475,2047.8952,943972.0
IF99,,IF99,20140321,00:00:00,2043.5206,2155.9297,2036.9699,2142.7751,1161642.0
IF99,,IF99,20140324,00:00:00,2139.6937,2150.4353,2120.8113,2138.4221,740361.0
IF99,,IF99,20140325,00:00:00,2138.113,2163.1305,2129.5208,2139.6364,749090.0
IF99,,IF99,20140326,00:00:00,2147.7195,2152.6905,2131.376,2140.3969,657906.0
IF99,,IF99,20140327,00:00:00,2134.9851,2167.7074,2112.1871,2121.4072,959511.0
IF99,,IF99,20140328,00:00:00,2128.3326,2152.098,2123.9089,2131.6158,881889.0
IF99,,IF99,20140331,00:00:00,2135.9562,2154.5081,2117.8941,2131.7423,726682.0
IF99,,IF99,20140401,00:00:00,2136.2518,2163.6474,2127.9488,2146.4376,785394.0
IF99,,IF99,20140402,00:00:00,2148.7083,2165.1175,2145.9348,2162.1944,710749.0
IF99,,IF99,20140403,00:00:00,2166.7961,2182.0681,2145.9844,2147.8647,730717.0
IF99,,IF99,20140404,00:00:00,2145.2976,2177.5922,2139.6695,2175.9333,735356.0
IF99,,IF99,20140408,00:00:00,2170.2179,2238.4492,2166.9061,2236.225,898193.0
IF99,,IF99,20140409,00:00:00,2237.4568,2247.4756,2226.4147,2226.7095,601334.0
IF99,,IF99,20140410,00:00:00,2232.4192,2287.1734,2225.1397,2276.554,940106.0
