0,net,hold,trade,commission,slipp
2018-1-25 23:05,0,0,0,0,0
2018-1-25 23:10,0,0,0,0,0
2018-1-25 23:15,0,0,0,0,0
2018-1-25 23:20,0,0,0,0,0
2018-1-25 23:25,0,0,0,0,0
2018-1-25 23:30,0,0,0,0,0
2018-1-26 9:05,0,0,0,0,0
2018-1-26 9:10,0,0,0,0,0
2018-1-26 9:15,0,0,0,0,0
2018-1-26 9:20,0,0,0,0,0
2018-1-26 9:25,0,0,0,0,0
2018-1-26 9:30,0,0,0,0,0
2018-1-26 9:35,0,0,0,0,0
2018-1-26 9:40,0,0,0,0,0
2018-1-26 9:45,0,0,0,0,0
2018-1-26 9:50,0,0,0,0,0
2018-1-26 9:55,0,0,0,0,0
2018-1-26 10:00,0,0,0,0,0
2018-1-26 10:05,0,0,0,0,0
2018-1-26 10:10,0,0,0,0,0
2018-1-26 10:15,0,0,0,0,0
2018-1-26 10:35,0,0,0,0,0
2018-1-26 10:40,0,0,0,0,0
2018-1-26 10:45,0,0,0,0,0
2018-1-26 10:50,0,0,0,0,0
2018-1-26 10:55,0,0,0,0,0
2018-1-26 11:00,0,0,0,0,0
2018-1-26 11:05,0,0,0,0,0
2018-1-26 11:10,0,0,0,0,0
2018-1-26 11:15,0,0,0,0,0
2018-1-26 11:20,0,0,0,0,0
2018-1-26 11:25,0,0,0,0,0
2018-1-26 11:30,0,0,0,0,0
2018-1-26 13:35,0,0,0,0,0
2018-1-26 13:40,0,0,0,0,0
2018-1-26 13:45,0,0,0,0,0
2018-1-26 13:50,0,0,0,0,0
2018-1-26 13:55,0,0,0,0,0
2018-1-26 14:00,0,0,0,0,0
2018-1-26 14:05,0,0,0,0,0
2018-1-26 14:10,0,0,0,0,0
2018-1-26 14:15,0,0,0,0,0
2018-1-26 14:20,0,0,0,0,0
2018-1-26 14:25,0,0,0,0,0
2018-1-26 14:30,0,0,0,0,0
2018-1-26 14:35,0,0,0,0,0
2018-1-26 14:40,0,0,0,0,0
2018-1-26 14:45,0,0,0,0,0
2018-1-26 14:50,0,0,0,0,0
2018-1-26 14:55,0,0,0,0,0
2018-1-26 15:00,0,0,0,0,0
2018-1-26 21:05,0,0,0,0,0
2018-1-26 21:10,0,0,0,0,0
2018-1-26 21:15,0,0,0,0,0
2018-1-26 21:20,0,0,0,0,0
2018-1-26 21:25,0,0,0,0,0
2018-1-26 21:30,0,0,0,0,0
2018-1-26 21:35,0,0,0,0,0
2018-1-26 21:40,0,0,0,0,0
2018-1-26 21:45,0,0,0,0,0
2018-1-26 21:50,0,0,0,0,0
2018-1-26 21:55,0,0,0,0,0
2018-1-26 22:00,0,0,0,0,0
2018-1-26 22:05,0,0,0,0,0
2018-1-26 22:10,0,0,0,0,0
2018-1-26 22:15,0,0,0,0,0
2018-1-26 22:20,0,0,0,0,0
2018-1-26 22:25,0,0,0,0,0
2018-1-26 22:30,0,0,0,0,0
2018-1-26 22:35,0,0,0,0,0
2018-1-26 22:40,0,0,0,0,0
2018-1-26 22:45,0,0,0,0,0
2018-1-26 22:50,0,0,0,0,0
2018-1-26 22:55,0,0,0,0,0
2018-1-26 23:00,0,0,0,0,0
2018-1-26 23:05,0,0,0,0,0
2018-1-26 23:10,0,0,0,0,0
2018-1-26 23:15,0,0,0,0,0
2018-1-26 23:20,0,0,0,0,0
2018-1-26 23:25,0,0,0,0,0
2018-1-26 23:30,0,0,0,0,0
2018-1-29 9:05,0,0,0,0,0
2018-1-29 9:10,0,0,0,0,0
2018-1-29 9:15,0,0,0,0,0
2018-1-29 9:20,0,0,0,0,0
2018-1-29 9:25,0,0,0,0,0
2018-1-29 9:30,0,0,0,0,0
2018-1-29 9:35,0,0,0,0,0
2018-1-29 9:40,0,0,0,0,0
2018-1-29 9:45,0,0,0,0,0
2018-1-29 9:50,0,0,0,0,0
2018-1-29 9:55,0,0,0,0,0
2018-1-29 10:00,0,0,0,0,0
2018-1-29 10:05,0,0,0,0,0
2018-1-29 10:10,0,0,0,0,0
2018-1-29 10:15,0,0,0,0,0
2018-1-29 10:35,0,0,0,0,0
2018-1-29 10:40,-381.6,-280,0,21.6,80
2018-1-29 10:45,0,0,0,0,0
2018-1-29 10:50,-120,-120,0,0,0
2018-1-29 10:55,40,40,0,0,0
2018-1-29 11:00,-80,-80,0,0,0
2018-1-29 11:05,-80,-80,0,0,0
2018-1-29 11:10,200,200,0,0,0
2018-1-29 11:15,-160,-160,0,0,0
2018-1-29 11:20,0,0,0,0,0
2018-1-29 11:25,0,0,0,0,0
2018-1-29 11:30,40,40,0,0,0
2018-1-29 13:35,0,0,0,0,0
2018-1-29 13:40,80,80,0,0,0
2018-1-29 13:45,0,0,0,0,0
2018-1-29 13:50,-80,-80,0,0,0
2018-1-29 13:55,0,0,0,0,0
2018-1-29 14:00,0,0,0,0,0
2018-1-29 14:05,-120,-120,0,0,0
2018-1-29 14:10,-40,-40,0,0,0
2018-1-29 14:15,-80,-80,0,0,0
2018-1-29 14:20,40,40,0,0,0
2018-1-29 14:25,0,0,0,0,0
2018-1-29 14:30,0,0,0,0,0
2018-1-29 14:35,40,40,0,0,0
2018-1-29 14:40,40,40,0,0,0
2018-1-29 14:45,120,120,0,0,0
2018-1-29 14:50,-80,-80,0,0,0
2018-1-29 14:55,-40,-40,0,0,0
2018-1-29 15:00,-120,-120,0,0,0
2018-1-29 21:05,200,200,0,0,0
