code,name,industry,area
002372,伟星新材,其他建材,浙江
002363,隆基机械,汽车配件,山东
002336,*ST人乐,超市连锁,深圳
002329,皇氏集团,乳制品,广西
002316,键桥通讯,软件服务,深圳
002309,中利集团,电气设备,江苏
002299,圣农发展,农业综合,福建
002283,天润曲轴,汽车配件,山东
002282,博深工具,轻工机械,河北
002280,联络互动,软件服务,浙江
002276,万马股份,电气设备,浙江
002270,华明装备,电气设备,山东
002269,美邦服饰,服饰,上海
002260,德奥通航,航空,广东
002255,海陆重工,专用机械,江苏
002248,华东数控,机床制造,山东
002245,澳洋顺昌,仓储物流,江苏
002243,通产丽星,塑料,深圳
002228,合兴包装,广告包装,福建
002212,南洋股份,电气设备,广东
002195,二三四五,软件服务,上海
002193,山东如意,纺织,山东
002186,全 聚 德,酒店餐饮,北京
002178,延华智能,建筑施工,上海
002175,东方网络,电器仪表,广西
002168,深圳惠程,电气设备,深圳
002162,悦心健康,医疗保健,上海
002134,天津普林,元器件,天津
002132,恒星科技,钢加工,河南
002129,中环股份,半导体,天津
002128,露天煤业,煤炭开采,内蒙
002121,科陆电子,电器仪表,深圳
002115,三维通信,通信设备,浙江
002113,天润数娱,互联网,湖南
002104,恒宝股份,元器件,江苏
002102,冠福股份,化学制药,福建
002082,栋梁新材,铝,浙江
002076,雪 莱 特,家用电器,广东
002075,沙钢股份,特种钢,江苏
002072,凯瑞德,纺织,山东
002068,黑猫股份,化工原料,江西
002061,江山化工,化工原料,浙江
002055,得润电子,元器件,深圳
002050,三花智控,机械基件,浙江
002049,紫光国芯,元器件,河北
002025,航天电器,元器件,贵州
002012,凯恩股份,造纸,浙江
002543,万和电气,家用电器,广东
002438,江苏神通,机械基件,江苏
002184,海得控制,软件服务,上海
002763,汇洁股份,服饰,深圳
002707,众信旅游,旅游服务,北京
002756,永兴特钢,特种钢,浙江
002448,中原内配,汽车配件,河南
002703,浙江世宝,汽车配件,浙江
002545,东方铁塔,钢加工,山东
002086,东方海洋,渔业,山东
002450,康得新,化工原料,江苏
002786,银宝山新,专用机械,深圳
002241,歌尔股份,元器件,山东
002649,博彦科技,软件服务,北京
002368,太极股份,软件服务,北京
002750,龙津药业,中成药,云南
002456,欧菲光,元器件,深圳
002297,博云新材,矿物制品,湖南
