code,name,industry,area
000150,宜华健康,医疗保健,广东
000881,中广核技,综合类,辽宁
000732,泰禾集团,区域地产,福建
000626,远大控股,商贸代理,江苏
000539,粤电力Ａ,火力发电,广东
000018,神州长城,装修装饰,深圳
000596,古井贡酒,白酒,安徽
000587,金洲慈航,批发业,黑龙江
000729,燕京啤酒,啤酒,北京
000627,天茂集团,保险,湖北
000970,中科三环,元器件,北京
000069,华侨城Ａ,旅游景点,深圳
000090,天健集团,建筑施工,深圳
000061,农 产 品,农业综合,深圳
000635,英 力 特,化工原料,宁夏
001696,宗申动力,摩托车,重庆
000008,神州高铁,运输设备,北京
000564,供销大集,百货,陕西
000593,大通燃气,供气供热,四川
000419,通程控股,百货,湖南
000572,海马汽车,汽车整车,海南
000576,广东甘化,造纸,广东
000760,斯太尔,汽车配件,湖北
000620,新华联,全国地产,北京
000800,一汽轿车,汽车整车,吉林
000531,穗恒运Ａ,火力发电,广东
000931,中 关 村,区域地产,北京
000952,广济药业,化学制药,湖北
000860,顺鑫农业,白酒,北京
000655,金岭矿业,普钢,山东
000766,通化金马,中成药,吉林
000958,东方能源,火力发电,河北
000415,渤海金控,多元金融,新疆
000998,隆平高科,种植业,湖南
000559,万向钱潮,汽车配件,浙江
000799,酒鬼酒,白酒,湖南
000776,广发证券,证券,广东
000988,华工科技,电器仪表,湖北
000333,美的集团,家用电器,广东
000863,三湘印象,区域地产,上海
000783,长江证券,证券,湖北
000990,诚志股份,化工原料,江西
000410,沈阳机床,机床制造,辽宁
000750,国海证券,证券,广西
001979,招商蛇口,全国地产,深圳
000838,财信发展,区域地产,北京
000023,深天地Ａ,其他建材,深圳
000909,数源科技,综合类,浙江
000801,四川九洲,通信设备,四川
000417,合肥百货,百货,安徽
000813,德展健康,化学制药,新疆
000908,景峰医药,化学制药,湖南
000038,深大通,广告包装,深圳
000751,锌业股份,铅锌,辽宁
000656,金科股份,区域地产,重庆
000006,深振业Ａ,区域地产,深圳
000768,中航飞机,航空,陕西
000543,皖能电力,火力发电,安徽
000989,九 芝 堂,中成药,湖南
000692,惠天热电,供气供热,辽宁
000705,浙江震元,医药商业,浙江
000586,汇源通信,通信设备,四川
000767,漳泽电力,火力发电,山西
000078,海王生物,生物制药,深圳
000049,德赛电池,电气设备,深圳
000012,南 玻Ａ,玻璃,深圳
000045,深纺织Ａ,纺织,深圳
000790,泰合健康,中成药,四川
000825,太钢不锈,特种钢,山西
000048,康达尔,饲料,深圳
000510,金路集团,化工原料,四川
000601,韶能股份,水力发电,广东
000915,山大华特,化学制药,山东
000600,建投能源,火力发电,河北
000036,华联控股,全国地产,深圳
000955,欣龙控股,纺织,海南
000795,英洛华,矿物制品,山西
000722,湖南发展,水力发电,湖南
000861,海印股份,房产服务,广东
000550,江铃汽车,汽车整车,江西
000721,西安饮食,酒店餐饮,陕西
000738,中航动控,航空,江苏
000890,法 尔 胜,钢加工,江苏
000504,*ST生物,出版业,湖南
000826,启迪桑德,环境保护,湖北
000899,赣能股份,火力发电,江西
000005,世纪星源,房产服务,深圳
000636,风华高科,元器件,广东
000605,渤海股份,水务,北京
000639,西王食品,食品,山东
