{'dt': '20180205 21:52:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5643.0, 'volume': 1}
{'dt': '20180205 22:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5643.0, 'volume': 1}
{'dt': '20180205 22:54:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5645.0, 'volume': 1}
{'dt': '20180205 23:19:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5648.0, 'volume': 1}
{'dt': '20180206 09:05:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5648.0, 'volume': 1}
{'dt': '20180206 10:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5642.0, 'volume': 1}
{'dt': '20180206 10:09:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5647.0, 'volume': 1}
{'dt': '20180206 11:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5643.0, 'volume': 1}
{'dt': '20180206 13:35:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5641.0, 'volume': 1}
{'dt': '20180206 14:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5638.0, 'volume': 1}
{'dt': '20180206 14:44:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5635.0, 'volume': 1}
{'dt': '20180206 22:08:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5613.0, 'volume': 1}
{'dt': '20180206 23:22:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5622.0, 'volume': 1}
{'dt': '20180207 10:55:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5621.0, 'volume': 1}
{'dt': '20180207 11:14:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5619.0, 'volume': 1}
{'dt': '20180207 14:17:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5613.0, 'volume': 1}
{'dt': '20180207 14:20:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5617.0, 'volume': 1}
{'dt': '20180207 21:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5605.0, 'volume': 1}
{'dt': '20180207 21:06:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5611.0, 'volume': 1}
{'dt': '20180207 22:36:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5620.0, 'volume': 1}
{'dt': '20180207 23:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5624.0, 'volume': 1}
{'dt': '20180208 10:06:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5618.0, 'volume': 1}
{'dt': '20180208 10:32:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5615.0, 'volume': 1}
{'dt': '20180208 11:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5612.0, 'volume': 1}
{'dt': '20180208 13:31:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5616.0, 'volume': 1}
{'dt': '20180208 14:56:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5624.0, 'volume': 1}
{'dt': '20180208 21:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5631.0, 'volume': 1}
{'dt': '20180208 22:57:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5621.0, 'volume': 1}
{'dt': '20180208 23:06:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5620.0, 'volume': 1}
{'dt': '20180209 13:32:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5608.0, 'volume': 1}
{'dt': '20180209 13:36:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5608.0, 'volume': 1}
{'dt': '20180209 22:17:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5621.0, 'volume': 1}
